"Song_Name","View_Count","Like_Count"
"Jump Van Halen",208170011,1404623
"Girls Just Want To Have Fun Cyndi Lauper",1281882301,6261896
"Flashdance...What a Feeling Irene Cara",100170920,609710
"Holiday Madonna",18943155,105392
"Time After Time Cyndi Lauper",503328311,2308460
"All Night Long (All Night) Lionel Richie",154514038,985735
"Blue Monday New Order",57687385,451179
"Let's Dance David Bowie",51232289,479134
"When Doves Cry Prince",97067085,775144
"Like a Virgin Madonna",117279138,650583
"What's Love Got To Do With It? Tina Turner",233898540,1430371
"Born In the U.S.A. Bruce Springsteen",80545353,432992
"Purple Rain Prince",83228569,948644
"I Want to Know What Love Is Foreigner",312589446,1905108
"Dancing In the Dark Bruce Springsteen",342152475,1372476
"The Boys of Summer Don Henley",23084922,152494
"Careless Whisper Wham! feat. George Michael",1134194447,7641723
"Pride (In the Name of Love) U2",104373954,440180
"Money For Nothing Dire Straits",119965141,773580
"Addicted To Love Robert Palmer",108298212,538292
"We Are the World U.S.A. for Africa",144758321,1077722
"Into the Groove Madonna",75508063,396978
"Word Up! Cameo",47614637,401148
"Walk Like An Egyptian Bangles",141405216,871387
"How Will I Know? Whitney Houston",141973145,599464
"The Power of Love Huey Lewis & The News",15067039,212306
"Saving All My Love For You Whitney Houston",78130670,378536
"Walk This Way Run-D.M.C.",121070689,862604
"Kiss Prince",70772878,572131
"Papa Don't Preach Madonna",211915715,841777
"Nasty Janet Jackson",2448791,38692
"Sledgehammer Peter Gabriel",69042136,491411
"Livin' On a Prayer Bon Jovi",1124132204,5082556
"Higher Love Steve Winwood",36072770,251034
"Take My Breath Away Berlin",383813226,2419507
"Push It Salt-N-Pepa",174848119,1004174
"Sweet Child O' Mine Guns N' Roses",1603312409,8019736
"With or Without You U2",141380295,932242
"I Still Haven't Found What I'm Looking For U2",201722034,1060207
"Faith George Michael",47012579,335198
"Bad Michael Jackson",87458349,992812
"Welcome To the Jungle Guns N' Roses",578155854,3217463
"Pour Some Sugar On Me Def Leppard",119484210,641306
"Sign O the Times Prince",6357551,61034
"(I've Had) The Time of My Life Bill Medley & Jennifer Warnes",36561470,405073
"I Wanna Dance With Somebody (Who Loves Me) Whitney Houston",428753504,2219416
"Fast Car Tracy Chapman",79464410,716489
"One Metallica",305881260,1875294
"Fuck Tha Police N.W.A",1744439,25112
"It Takes Two Rob Base & DJ E-Z Rock",70795148,624914
"My Prerogative Bobby Brown",55353638,396615
"Straight Up Paula Abdul",52627664,434195
"Buffalo Stance Neneh Cherry",35765945,206673
"She Drives Me Crazy Fine Young Cannibals",67799566,465697
"Wind Beneath My Wings Bette Midler",21136243,146723
"Parents Just Don't Understand DJ Jazzy Jeff & The Fresh Prince",14982379,131466
"Fight the Power Public Enemy",8848888,106062
"Like a Prayer Madonna",273704738,1308806
"Rockin' In the Free World Neil Young",14336420,125300
"Free Fallin' Tom Petty",114633122,646470
"Love Shack B-52s",73125759,453607
"Fool's Gold Stone Roses",12126642,73844
"Back To Life Soul II Soul",95318978,744582
"Pump Up the Jam Technotronic feat. Felly",311847197,2279055
"Bust a Move Young MC",33111786,189386
"Nothing Compares 2 U Sinead O'Connor",445524329,2491391
"Mama Said Knock You Out LL Cool J",41701635,394276
"Vogue Madonna",160801551,846840
"Been Caught Stealing Jane's Addiction",12208687,85582
"Groove Is In The Heart Deee-Lite",81126207,665548
"Enjoy The Silence Depeche Mode",404930869,2339021
"Man In The Box Alice In Chains",156111107,920012
"U Can't Touch This MC Hammer",820016466,4364641
"Unbelievable EMF",7261635,97493
"Vision of Love Mariah Carey",40969523,253417
"Smells Like Teen Spirit Nirvana",1769025082,12934124
"Losing My Religion R.E.M.",1192198708,4616777
"Jeremy Pearl Jam",137030204,617571
"One U2",158826336,673507
"Under The Bridge Red Hot Chili Peppers",275298288,1364866
"O.P.P. Naughty by Nature",14997169,144308
"November Rain Guns N' Roses",2112211358,7366384
"Enter Sandman Metallica",629452970,3146672
"Come As You Are Nirvana",530243494,3642124
"Alive Pearl Jam",91074879,413434
"Nuthin' But a G Thang Dr. Dre",12672909,170934
"Tears In Heaven Eric Clapton",109839616,860151
"Creep Radiohead",933328105,5567139
"Tennessee Arrested Development",11065626,107155
